"Activity 
2_DC Rollover IRA *4915 
as of 02/04/2026 at 11:21:41 AM"

Date,Description,Symbol,Quantity,Price,Amount,Cash Balance,Commission,Fees,Account,Settlement Date,Type
Dec-31-2025,REINVESTMENT REINVEST @ $1.000,FDRXX,401.91,1.00,-401.91,"+275,705.51",--,--,2_DC Rollover IRA *4915,--,Cash
Dec-31-2025,DIVIDEND RECEIVED,FDRXX,--,--,401.91,"+275,705.51",--,--,2_DC Rollover IRA *4915,--,Cash
Dec-31-2025,YOU SOLD,VICR,-300,109.82,"32,946.00","+275,303.60",--,--,2_DC Rollover IRA *4915,Jan-2-2026,Margin
Dec-31-2025,YOU BOUGHT,TIGR,"2,000",9.59,"-19,170.20","+242,357.60",--,--,2_DC Rollover IRA *4915,Jan-2-2026,Margin
Dec-31-2025,YOU BOUGHT,RDDT,150,231.54,"-34,731.00","+261,527.80",--,--,2_DC Rollover IRA *4915,Jan-2-2026,Margin
Dec-31-2025,YOU SOLD,RDDT,-100,229.13,"22,913.00","+296,258.80",--,--,2_DC Rollover IRA *4915,Jan-2-2026,Margin
Dec-31-2025,YOU SOLD,RDDT,-140,228.50,"31,990.00","+273,345.80",--,--,2_DC Rollover IRA *4915,Jan-2-2026,Margin
Dec-31-2025,YOU SOLD,PEN,-100,311.11,"31,111.00","+241,355.80",--,--,2_DC Rollover IRA *4915,Jan-2-2026,Margin
Dec-31-2025,YOU SOLD,MCK,-40,822.39,"32,895.60","+210,244.80",--,--,2_DC Rollover IRA *4915,Jan-2-2026,Margin
Dec-31-2025,YOU SOLD,APP,-28,680.67,"19,058.76","+177,349.20",--,--,2_DC Rollover IRA *4915,Jan-2-2026,Margin
Dec-31-2025,YOU SOLD,VIK,-146,71.74,"10,474.04","+158,290.44",--,--,2_DC Rollover IRA *4915,Jan-2-2026,Margin
Dec-31-2025,JOURNALED JNL VS A/C TYPES,,--,--,"14,205.22","+147,816.40",--,--,2_DC Rollover IRA *4915,--,Cash
Dec-31-2025,JOURNALED JNL VS A/C TYPES,,--,--,"-14,205.22","+147,816.40",--,--,2_DC Rollover IRA *4915,--,Margin
Dec-30-2025,YOU BOUGHT,VICR,300,113.92,"-34,176.63","+147,816.40",--,--,2_DC Rollover IRA *4915,Dec-31-2025,Margin
Dec-30-2025,YOU SOLD,VRTX,-65,456.74,"29,687.97","+181,993.03",--,--,2_DC Rollover IRA *4915,Dec-31-2025,Margin
Dec-30-2025,YOU SOLD,ULTA,-29,601.00,"17,429.00","+152,305.06",--,--,2_DC Rollover IRA *4915,Dec-31-2025,Margin
Dec-30-2025,YOU BOUGHT,RDDT,100,232.35,"-23,235.16","+134,876.06",--,--,2_DC Rollover IRA *4915,Dec-31-2025,Margin
Dec-30-2025,YOU SOLD,BTSG,"-1,000",37.54,"37,540.00","+158,111.22",--,--,2_DC Rollover IRA *4915,Dec-31-2025,Margin
Dec-30-2025,YOU BOUGHT,APP,20,694.79,"-13,895.86","+120,571.22",--,--,2_DC Rollover IRA *4915,Dec-31-2025,Margin
Dec-30-2025,YOU SOLD,AAPL,-50,272.77,"13,638.50","+134,467.08",--,--,2_DC Rollover IRA *4915,Dec-31-2025,Margin
Dec-30-2025,YOU BOUGHT,ANF,100,127.83,"-12,782.60","+120,828.58",--,--,2_DC Rollover IRA *4915,Dec-31-2025,Margin
Dec-30-2025,JOURNALED JNL VS A/C TYPES,,--,--,"28,134.30","+133,611.18",--,--,2_DC Rollover IRA *4915,--,Margin
Dec-30-2025,JOURNALED JNL VS A/C TYPES,,--,--,"-28,134.30","+133,611.18",--,--,2_DC Rollover IRA *4915,--,Cash
Dec-29-2025,YOU BOUGHT,RDDT,140,232.90,"-32,605.54","+133,611.18",--,--,2_DC Rollover IRA *4915,Dec-30-2025,Margin
Dec-29-2025,YOU SOLD,NVDA,-0.789,186.87,147.44,"+166,216.72",--,--,2_DC Rollover IRA *4915,Dec-30-2025,Margin
Dec-29-2025,YOU SOLD,NVDA,-122,186.87,"22,797.54","+166,069.28",--,--,2_DC Rollover IRA *4915,Dec-30-2025,Margin
Dec-29-2025,YOU BOUGHT,MCK,40,832.85,"-33,314.11","+143,271.74",--,--,2_DC Rollover IRA *4915,Dec-30-2025,Margin
Dec-29-2025,YOU SOLD,GIL,-236,62.89,"14,842.06","+176,585.85",--,--,2_DC Rollover IRA *4915,Dec-30-2025,Margin
Dec-29-2025,JOURNALED JNL VS A/C TYPES,,--,--,1.69,"+161,743.79",--,--,2_DC Rollover IRA *4915,--,Cash
Dec-29-2025,JOURNALED JNL VS A/C TYPES,,--,--,-1.69,"+161,743.79",--,--,2_DC Rollover IRA *4915,--,Margin
Dec-29-2025,JOURNALED JNL VS A/C TYPES,,--,--,"29,998.28","+161,743.79",--,--,2_DC Rollover IRA *4915,--,Margin
Dec-29-2025,JOURNALED JNL VS A/C TYPES,,--,--,"-29,998.28","+161,743.79",--,--,2_DC Rollover IRA *4915,--,Cash
