"Closed Positions 
2_DC Rollover IRA *4915 
as of 02/05/2026 at 07:58:45 PM"

Symbol,Description,Quantity,$ Cost,$ Proceeds,$ Short-term G/L,$ Long-term G/L,$ Total G/L,Avg Cost,Avg Proceeds,Last,Account
AAPL,APPLE INC,477.45,129593.35,"128,355.36",0.00,"-1,237.99","-1,237.99",271.43,268.84,275.91,2_DC Rollover IRA *4915
SPY,STATE STREET SPDR S&P 500 ETF UNITS,110,66277.32,"65,789.47",0.00,-487.85,-487.85,602.52,598.09,677.62,2_DC Rollover IRA *4915
RCL,ROYAL CARIBBEAN GROUP COM USD0.01,87,21718.99,"23,197.73",0.00,"1,478.74","1,478.74",249.64,266.64,326.09,2_DC Rollover IRA *4915
DFLVX,DFA US LARGE CAP VALUE PRTF INSTL,374.937,13009.65,"19,766.68",0.00,"6,757.03","6,757.03",34.70,52.72,59.55,2_DC Rollover IRA *4915
DIS,DISNEY WALT CO COM,100,12185.5,"11,790.50",0.00,-395.00,-395.00,121.86,117.91,104.97,2_DC Rollover IRA *4915
INTC,INTEL CORP COM USD0.001,1208,30012.76,"30,036.92",0.00,24.16,24.16,24.84,24.86,48.24,2_DC Rollover IRA *4915
BSX,BOSTON SCIENTIFIC CORP,482,51448.3,"50,418.90",0.00,"-1,029.40","-1,029.40",106.74,104.60,77.64,2_DC Rollover IRA *4915
ORLY,OREILLY AUTOMOTIVE INC COM,100,10088,"10,243.95",0.00,155.95,155.95,100.88,102.44,92.86,2_DC Rollover IRA *4915
MCK,MCKESSON CORP,185,133014.53,"129,705.14",0.00,"-3,309.39","-3,309.39",719.00,701.11,957.80,2_DC Rollover IRA *4915
TOL,TOLL BROTHERS INC,752.622,106219.41,"106,712.49",0.00,493.08,493.08,141.13,141.79,150.60,2_DC Rollover IRA *4915
CAT,CATERPILLAR INC COM,50,28697,"28,514.50",0.00,-182.50,-182.50,573.94,570.29,678.31,2_DC Rollover IRA *4915
RRC,RANGE RESOURCES CORP,300,12212.91,"12,381.00",0.00,168.09,168.09,40.71,41.27,35.99,2_DC Rollover IRA *4915
LLY,ELI LILLY &CO COM,173.971,177601.84,"177,795.35",0.00,193.51,193.51,"1,020.87","1,021.98","1,020.84",2_DC Rollover IRA *4915
AMD,ADVANCED MICRO DEVICES INC,925.073,186816.45,"181,029.68",0.00,"-5,786.77","-5,786.77",201.95,195.69,192.50,2_DC Rollover IRA *4915
CCL,CARNIVAL CORP COM USD0.01,1602,49997.55,"50,273.85",0.00,276.30,276.30,31.21,31.38,31.45,2_DC Rollover IRA *4915
CDNS,CADENCE DESIGN SYSTEMS INC COM USD0.01,100,35883,"33,276.70",0.00,"-2,606.30","-2,606.30",358.83,332.77,270.14,2_DC Rollover IRA *4915
WMT,WALMART INC COM,880.947,93202.67,"92,493.41",0.00,-709.26,-709.26,105.80,104.99,126.94,2_DC Rollover IRA *4915
VRTX,VERTEX PHARMACEUTICALS INC,65,29671.2,"29,687.97",0.00,16.77,16.77,456.48,456.74,458.81,2_DC Rollover IRA *4915
CCJ,CAMECO CORP COM NPV ISIN #CA13321L1085 SEDOL #2166160,753,59285.16,"57,984.77",0.00,"-1,300.39","-1,300.39",78.73,77.01,109.28,2_DC Rollover IRA *4915
DY,DYCOM INDUSTRIES INC,136.78,40041.7,"39,584.80",0.00,-456.90,-456.90,292.75,289.40,376.24,2_DC Rollover IRA *4915
DFREX,DFA REAL ESTATE SEC PRTF INSTL,405.932,15162.16,"16,602.62",0.00,"1,440.46","1,440.46",37.35,40.90,41.03,2_DC Rollover IRA *4915
JBL,JABIL INC COM,60,13953.24,"12,862.50",0.00,"-1,090.74","-1,090.74",232.55,214.38,241.83,2_DC Rollover IRA *4915
FLEX,FLEX LTD COM USD0.01,750,44813.13,"42,929.50",0.00,"-1,883.63","-1,883.63",59.75,57.24,60.145,2_DC Rollover IRA *4915
AMGN,AMGEN INC,293.299,95919.11,"99,762.90",0.00,"3,843.79","3,843.79",327.04,340.14,367.80,2_DC Rollover IRA *4915
PHM,PULTE GROUP INC COM USD0.01,769.315,104936.17,"103,843.26",0.00,"-1,092.91","-1,092.91",136.40,134.98,134.05,2_DC Rollover IRA *4915
EAT,BRINKER INTERNATIONAL INC,125,21680.5,"21,820.44",0.00,139.94,139.94,173.44,174.56,160.64,2_DC Rollover IRA *4915
DHI,DR HORTON INC COM STK USD0.01,868.084,150084.94,"150,380.62",0.00,295.68,295.68,172.89,173.23,158.13,2_DC Rollover IRA *4915
MS,MORGAN STANLEY COM USD0.01,180,23392.9,"21,251.98",0.00,"-2,140.92","-2,140.92",129.96,118.07,175.84,2_DC Rollover IRA *4915
