"Activity 
2_DC Rollover IRA *4915 
as of 02/03/2026 at 03:25:53 PM"

Date,Description,Symbol,Quantity,Price,Amount,Cash Balance,Commission,Fees,Account,Settlement Date,Type
Feb-3-2026,YOU BOUGHT,COST,40,983.99,"-39,359.60",Processing,--,--,2_DC Rollover IRA *4915,Feb-4-2026,Margin
Feb-3-2026,YOU BOUGHT,SLB,800,49.02,"-39,216.00",Processing,--,--,2_DC Rollover IRA *4915,Feb-4-2026,Margin
Feb-3-2026,YOU BOUGHT EX-DIV DATE 02/05/26RECORD DATE 02/05/26PAYABLE DTE 03/09/26,VLO,200,184.88,"-36,975.00",Processing,--,--,2_DC Rollover IRA *4915,Feb-4-2026,Margin
Feb-3-2026,YOU SOLD,SPHR,-400,93.41,"37,365.00",Processing,--,--,2_DC Rollover IRA *4915,Feb-4-2026,Margin
Feb-2-2026,YOU BOUGHT,SPHR,300,96.91,"-29,073.00","+283,187.74",--,--,2_DC Rollover IRA *4915,Feb-3-2026,Margin
Feb-2-2026,YOU SOLD,SPHR,-300,97.04,"29,112.00","+312,260.74",--,--,2_DC Rollover IRA *4915,Feb-3-2026,Margin
Feb-2-2026,YOU BOUGHT,GLW,350,108.00,"-37,800.00","+283,148.74",--,--,2_DC Rollover IRA *4915,Feb-3-2026,Margin
Feb-2-2026,YOU SOLD 26033INLMA,GLW,-100,109.43,"10,942.92","+320,948.74",--,--,2_DC Rollover IRA *4915,Feb-3-2026,Margin
Feb-2-2026,YOU SOLD,GLW,-200,109.73,"21,946.00","+310,005.82",--,--,2_DC Rollover IRA *4915,Feb-3-2026,Margin
Feb-2-2026,YOU BOUGHT,ARWR,450,70.98,"-31,942.89","+288,059.82",--,--,2_DC Rollover IRA *4915,Feb-3-2026,Margin
Feb-2-2026,YOU BOUGHT,FTI,600,56.10,"-33,660.00","+320,002.71",--,--,2_DC Rollover IRA *4915,Feb-3-2026,Margin
Feb-2-2026,YOU SOLD,FTI,-325,54.42,"17,686.50","+353,662.71",--,--,2_DC Rollover IRA *4915,Feb-3-2026,Margin
Jan-30-2026,YOU SOLD,RKLB,-600,82.91,"49,746.00","+335,398.07",--,--,2_DC Rollover IRA *4915,Feb-2-2026,Margin
Jan-30-2026,YOU SOLD,MU,-2,416.77,833.54,"+285,652.07",--,--,2_DC Rollover IRA *4915,Feb-2-2026,Margin
Jan-30-2026,YOU SOLD,MU,-58,416.75,"24,171.50","+284,818.53",--,--,2_DC Rollover IRA *4915,Feb-2-2026,Margin
Jan-30-2026,YOU SOLD,MU,-100,416.78,"41,678.00","+260,647.03",--,--,2_DC Rollover IRA *4915,Feb-2-2026,Margin
Jan-30-2026,YOU BOUGHT,GLW,400,106.53,"-42,614.00","+218,969.03",--,--,2_DC Rollover IRA *4915,Feb-2-2026,Margin
Jan-30-2026,YOU BOUGHT,GLW,200,104.96,"-20,992.00","+261,583.03",--,--,2_DC Rollover IRA *4915,Feb-2-2026,Margin
Jan-30-2026,YOU SOLD,BABA,-450,172.50,"77,625.54","+282,575.03",--,--,2_DC Rollover IRA *4915,Feb-2-2026,Margin
Jan-29-2026,YOU SOLD,TSM,-1,329.50,329.50,"+204,949.49",--,--,2_DC Rollover IRA *4915,Jan-30-2026,Margin
Jan-29-2026,YOU SOLD,TSM,-1,337.57,337.57,"+204,619.99",--,--,2_DC Rollover IRA *4915,Jan-30-2026,Margin
Jan-29-2026,YOU SOLD,TSM,-127,337.53,"42,866.31","+204,282.42",--,--,2_DC Rollover IRA *4915,Jan-30-2026,Margin
Jan-29-2026,YOU SOLD,TSM,-151,329.39,"49,737.89","+161,416.11",--,--,2_DC Rollover IRA *4915,Jan-30-2026,Margin
Jan-29-2026,YOU BOUGHT,RKLB,400,85.72,"-34,290.00","+111,678.22",--,--,2_DC Rollover IRA *4915,Jan-30-2026,Margin
Jan-29-2026,YOU BOUGHT,RKLB,200,85.97,"-17,193.00","+145,968.22",--,--,2_DC Rollover IRA *4915,Jan-30-2026,Margin
Jan-29-2026,YOU SOLD,RKLB,-2,84.43,168.86,"+163,161.22",--,--,2_DC Rollover IRA *4915,Jan-30-2026,Margin
Jan-29-2026,YOU SOLD,RKLB,-20,84.42,"1,688.40","+162,992.36",--,--,2_DC Rollover IRA *4915,Jan-30-2026,Margin
Jan-29-2026,YOU SOLD,RKLB,-85,84.41,"7,174.85","+161,303.96",--,--,2_DC Rollover IRA *4915,Jan-30-2026,Margin
Jan-29-2026,YOU SOLD,RKLB,-133,85.26,"11,339.58","+154,129.11",--,--,2_DC Rollover IRA *4915,Jan-30-2026,Margin
Jan-29-2026,YOU SOLD,RKLB,-167,85.25,"14,236.75","+142,789.53",--,--,2_DC Rollover IRA *4915,Jan-30-2026,Margin
Jan-29-2026,YOU SOLD,RKLB,-193,84.40,"16,289.20","+128,552.78",--,--,2_DC Rollover IRA *4915,Jan-30-2026,Margin
